ЖК;Тип Недвижимости;Тип квартиры;Площадь от;Этаж от;Цена до;кол-во по фильтру;адрес1;адрес2;адрес3;id;;;;;;;;
Promenade;новостройки;1;;;;11;набережная Обводного канала, 108;Московский проспект, 60/129Б;Лермонтовский проспект, 54Х;71703;;;;;;;;
Promenade;новостройки;2;;;;11;набережная Обводного канала, 108;Московский проспект, 60/129Б;Лермонтовский проспект, 54ХPromenade;71704;;;;;;;;
Шуваловский;новостройки;;;;;37;Парашютная улица, 65;Комендантский проспект, 55к1;Парашютная улица, 42к1;32620;;;;;;;;
Domino ;новостройки;;;;;33;Белоостровская улица, 28;Белоостровская улица, 35;Ушаковская набережная, 17/1;1409221;;;;;;;;
Статус у Парка Победы ;новостройки;;;;;5;Витебский проспект, 17к1;Белградская улица, 6к1;улица Салова, 63к2;76497;;;;;;;;
Alter;новостройки;ст;;;;2;Республиканская улица, 24к1;проспект Шаумяна, 2;Малоохтинский проспект, 68;1337387;;;;;;;;
Alter;новостройки;1;;;;9;Республиканская улица, 24к1;проспект Шаумяна, 2;Малоохтинский проспект, 68;1337387;;;;;;;;
Alter;новостройки;3Е;;;;5;Республиканская улица, 24к1;проспект Шаумяна, 2;Малоохтинский проспект, 68;1337387;;;;;;;;
Alter;новостройки;4Е;;;;22;Республиканская улица, 24к1;проспект Шаумяна, 2;Малоохтинский проспект, 68;1337387;;;;;;;;
Галактика (Эталон ЛенСпецСМУ) ;новостройки;1;;;;42;Парфёновская улица, 9к1;Московский проспект, 73к4;Московский проспект, 112;57007;;;;;;;;
Галактика (Эталон ЛенСпецСМУ) ;новостройки;2;;;;38;Парфёновская улица, 9к1;Московский проспект, 73к4;Московский проспект, 112;57008;;;;;;;;
Галактика (Эталон ЛенСпецСМУ) ;новостройки;3;;;;5;Парфёновская улица, 9к1;Московский проспект, 73к4;Московский проспект, 112;51218;;;;;;;;
riviere noire;новостройки;;;;;24;Выборгская набережная, 61;Кантемировская улица, 8;Ушаковская набережная, 3к1;60377;;;;;;;;
Veda Village ;новостройки;;;;;7;Белорусская улица, 14/22;Белорусская улица, 12к1;улица Коллонтай, 47к5;56972;;;;;;;;
